Date_Time,Author,Title,URL
Сегодня в 20:16,Павел Левкович,Актер и болельщик «Зенита» Мигицко: «В спорте оскорбления и пикировки не уместны»,https://matchtv.ru/hockey/matchtvnews_NI2126471_Akter_i_bolelshhik_Zenita_Migicko_V_sporte_oskorblenija_i_pikirovki_ne_umestny
Сегодня в 20:14,Сергей Астахов,Тренер «Трактора» назвал странным матч КХЛ с «Автомобилистом»,https://matchtv.ru/hockey/matchtvnews_NI2126474_Trener_Traktora_nazval_strannym_match_KKhL_s_Avtomobilistom
Сегодня в 20:00,Сергей Астахов,Тренер «Автомобилиста» Заварухин — о матче с «Трактором»: «Приятно побеждать лидера. Мы не хотели сушить игру»,https://matchtv.ru/hockey/matchtvnews_NI2126469_Trener_Avtomobilista_Zavaruhin__o_matche_s_Traktorom_Prijatno_pobezhdat_lidera_My_ne_khoteli_sushit_igru
Сегодня в 19:49,Андрей Ирха,Заварухин — о победе над «Трактором»: «Ребята сыграли самоотверженно и заслуженно выиграли»,https://matchtv.ru/hockey/matchtvnews_NI2126465_Zavaruhin__o_pobede_nad_Traktorom_Rebata_sygrali_samootverzhenno_i_zasluzhenno_vyigrali
Сегодня в 19:38,Автор не известен,«Трактор» проиграл «Автомобилисту» и прервал серию из пяти побед в КХЛ,https://matchtv.ru/hockey/matchtvnews_NI2126460_Traktor_proigral_Avtomobilistu_i_prerval_seriju_iz_pati_pobed_v_KKhL
Сегодня в 17:52,Автор не известен,«Локомотив» продлил контракт с главным тренером Игорем Никитиным,https://matchtv.ru/hockey/matchtvnews_NI2126414_Lokomotiv_prodlil_kontrakt_s_glavnym_trenerom_Igorem_Nikitinym
Сегодня в 17:36,Автор не известен,«Московское «Динамо» хорошо укомплектовано и играет очень прилично» — экс‑хоккеист Терещенко,https://matchtv.ru/hockey/matchtvnews_NI2126411_Moskovskoje_Dinamo_khorosho_ukomplektovano_i_igrajet_ochen_prilichno__ekskhokkeist_Tereshhenko
Сегодня в 16:06,Автор не известен,«ЦСКА перестраивается и ищет оптимальный состав. У них всё нормализуется в КХЛ» — Крикунов,https://matchtv.ru/hockey/matchtvnews_NI2126386_CSKA_perestraivajetsa_i_ishhet_optimalnyj_sostav_U_nih_vso_normalizujetsa_v_KKhL__Krikunov
Сегодня в 16:01,Автор не известен,Минское «Динамо» поместило канадского форварда Дюбе в список травмированных,https://matchtv.ru/hockey/matchtvnews_NI2126384_Minskoje_Dinamo_pomestilo_kanadskogo_forvarda_Dube_v_spisok_travmirovannyh
Сегодня в 13:53,Александр Рогулев,"«В выездной серии СКА забил мало, нужно лучше реализовывать моменты» — Ротенберг",https://matchtv.ru/hockey/matchtvnews_NI2126340_V_vyjezdnoj_serii_SKA_zabil_malo_nuzhno_luchshe_realizovyvat_momenty__Rotenberg
